  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:21 init [3]
    2 ?        S    141:46 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    5 ?        I<     0:00 [netns]
    7 ?        I<     0:00 [kworker/0:0H-events_highpri]
   10 ?        I<     0:00 [mm_percpu_wq]
   11 ?        I      0:00 [rcu_tasks_kthread]
   12 ?        S      2:03 [ksoftirqd/0]
   13 ?        I     26:52 [rcu_preempt]
   14 ?        S      0:00 [migration/0]
   15 ?        S      0:00 [cpuhp/0]
   16 ?        S      0:00 [cpuhp/1]
   17 ?        S      0:01 [migration/1]
   18 ?        S      1:33 [ksoftirqd/1]
   20 ?        I<     0:00 [kworker/1:0H-events_highpri]
   21 ?        S      0:00 [cpuhp/2]
   22 ?        S      0:01 [migration/2]
   23 ?        S      1:09 [ksoftirqd/2]
   25 ?        I<     0:00 [kworker/2:0H-kblockd]
   26 ?        S      0:00 [cpuhp/3]
   27 ?        S      0:01 [migration/3]
   28 ?        S      1:02 [ksoftirqd/3]
   30 ?        I<     0:00 [kworker/3:0H-events_highpri]
   31 ?        S      0:00 [cpuhp/4]
   32 ?        S      0:01 [migration/4]
   33 ?        S      1:03 [ksoftirqd/4]
   35 ?        I<     0:00 [kworker/4:0H-kblockd]
   36 ?        S      0:00 [cpuhp/5]
   37 ?        S      0:01 [migration/5]
   38 ?        S      1:08 [ksoftirqd/5]
   40 ?        I<     0:00 [kworker/5:0H-kblockd]
   41 ?        S      0:00 [cpuhp/6]
   42 ?        S      0:01 [migration/6]
   43 ?        S      0:55 [ksoftirqd/6]
   45 ?        I<     0:00 [kworker/6:0H-events_highpri]
   46 ?        S      0:00 [cpuhp/7]
   47 ?        S      0:01 [migration/7]
   48 ?        S      0:54 [ksoftirqd/7]
   50 ?        I<     0:00 [kworker/7:0H-events_highpri]
   51 ?        S      0:00 [cpuhp/8]
   52 ?        S      0:01 [migration/8]
   53 ?        S      0:40 [ksoftirqd/8]
   55 ?        I<     0:00 [kworker/8:0H-kblockd]
   57 ?        S      0:00 [cpuhp/9]
   58 ?        S      0:00 [migration/9]
   59 ?        S      0:30 [ksoftirqd/9]
   61 ?        I<     0:00 [kworker/9:0H-kblockd]
   62 ?        S      0:00 [cpuhp/10]
   63 ?        S      0:01 [migration/10]
   64 ?        S      0:25 [ksoftirqd/10]
   66 ?        I<     0:00 [kworker/10:0H-kblockd]
   67 ?        S      0:00 [cpuhp/11]
   68 ?        S      0:00 [migration/11]
   69 ?        S      0:24 [ksoftirqd/11]
   71 ?        I<     0:00 [kworker/11:0H-kblockd]
   72 ?        S      0:00 [cpuhp/12]
   73 ?        S      0:01 [migration/12]
   74 ?        S      0:23 [ksoftirqd/12]
   76 ?        I<     0:00 [kworker/12:0H-kblockd]
   77 ?        S      0:00 [cpuhp/13]
   78 ?        S      0:01 [migration/13]
   79 ?        S      0:21 [ksoftirqd/13]
   81 ?        I<     0:00 [kworker/13:0H-kblockd]
   82 ?        S      0:00 [cpuhp/14]
   83 ?        S      0:01 [migration/14]
   84 ?        S      0:24 [ksoftirqd/14]
   86 ?        I<     0:00 [kworker/14:0H-kblockd]
   87 ?        S      0:00 [cpuhp/15]
   88 ?        S      0:01 [migration/15]
   89 ?        S      0:22 [ksoftirqd/15]
   91 ?        I<     0:00 [kworker/15:0H-kblockd]
   92 ?        S      0:00 [cpuhp/16]
   93 ?        S      0:01 [migration/16]
   94 ?        S      0:29 [ksoftirqd/16]
   96 ?        I<     0:00 [kworker/16:0H-kblockd]
   97 ?        S      0:00 [cpuhp/17]
   98 ?        S      0:01 [migration/17]
   99 ?        S      0:46 [ksoftirqd/17]
  101 ?        I<     0:00 [kworker/17:0H-kblockd]
  102 ?        S      0:00 [cpuhp/18]
  103 ?        S      0:01 [migration/18]
  104 ?        S     11:59 [ksoftirqd/18]
  106 ?        I<     0:00 [kworker/18:0H-kblockd]
  107 ?        S      0:00 [cpuhp/19]
  108 ?        S      0:01 [migration/19]
  109 ?        S      1:02 [ksoftirqd/19]
  111 ?        I<     0:00 [kworker/19:0H-kblockd]
  112 ?        S      0:00 [cpuhp/20]
  113 ?        S      0:01 [migration/20]
  114 ?        S      1:03 [ksoftirqd/20]
  116 ?        I<     0:00 [kworker/20:0H-events_highpri]
  117 ?        S      0:00 [cpuhp/21]
  118 ?        S      0:01 [migration/21]
  119 ?        S      0:51 [ksoftirqd/21]
  121 ?        I<     0:00 [kworker/21:0H-kblockd]
  122 ?        S      0:00 [cpuhp/22]
  123 ?        S      0:01 [migration/22]
  124 ?        S      1:06 [ksoftirqd/22]
  126 ?        I<     0:00 [kworker/22:0H-kblockd]
  127 ?        S      0:00 [cpuhp/23]
  128 ?        S      0:01 [migration/23]
  129 ?        S      1:03 [ksoftirqd/23]
  131 ?        I<     0:00 [kworker/23:0H-kblockd]
  132 ?        S      0:00 [cpuhp/24]
  133 ?        S      0:01 [migration/24]
  134 ?        S      0:30 [ksoftirqd/24]
  136 ?        I<     0:00 [kworker/24:0H-kblockd]
  137 ?        S      0:00 [cpuhp/25]
  138 ?        S      0:01 [migration/25]
  139 ?        S      0:23 [ksoftirqd/25]
  141 ?        I<     0:00 [kworker/25:0H-kblockd]
  142 ?        S      0:00 [cpuhp/26]
  143 ?        S      0:01 [migration/26]
  144 ?        S      0:20 [ksoftirqd/26]
  146 ?        I<     0:00 [kworker/26:0H-kblockd]
  147 ?        S      0:00 [cpuhp/27]
  148 ?        S      0:01 [migration/27]
  149 ?        S      0:19 [ksoftirqd/27]
  151 ?        I<     0:00 [kworker/27:0H-kblockd]
  152 ?        S      0:00 [cpuhp/28]
  153 ?        S      0:01 [migration/28]
  154 ?        S      0:20 [ksoftirqd/28]
  156 ?        I<     0:00 [kworker/28:0H-kblockd]
  157 ?        S      0:00 [cpuhp/29]
  158 ?        S      0:01 [migration/29]
  159 ?        S      0:19 [ksoftirqd/29]
  161 ?        I<     0:00 [kworker/29:0H-events_highpri]
  162 ?        S      0:00 [cpuhp/30]
  163 ?        S      0:01 [migration/30]
  164 ?        S      0:21 [ksoftirqd/30]
  166 ?        I<     0:00 [kworker/30:0H-kblockd]
  167 ?        S      0:00 [cpuhp/31]
  168 ?        S      0:01 [migration/31]
  169 ?        S      0:20 [ksoftirqd/31]
  171 ?        I<     0:00 [kworker/31:0H-events_highpri]
  172 ?        S      0:00 [kdevtmpfs]
  173 ?        I<     0:00 [inet_frag_wq]
  174 ?        S      0:00 [kauditd]
  179 ?        S      0:00 [oom_reaper]
  180 ?        I<     0:00 [writeback]
  181 ?        S    198:21 [kcompactd0]
  182 ?        S    170:17 [kcompactd1]
  183 ?        I<     0:00 [pencrypt_serial]
  184 ?        I<     0:00 [pdecrypt_serial]
  185 ?        I<     0:00 [cryptd]
  186 ?        I<     0:00 [kintegrityd]
  187 ?        I<     0:00 [kblockd]
  188 ?        I<     0:00 [blkcg_punt_bio]
  189 ?        I<     0:00 [ata_sff]
  190 ?        I<     0:00 [md]
  191 ?        I<     0:00 [edac-poller]
  192 ?        S      0:00 [watchdogd]
  195 ?        I<     9:36 [kworker/0:1H-kblockd]
  196 ?        I<     0:00 [rpciod]
  197 ?        I<     0:00 [xprtiod]
  405 ?        S    629:47 [kswapd0]
  406 ?        S    681:13 [kswapd1]
  408 ?        I<     0:00 [nfsiod]
  411 ?        I<     0:00 [xfsalloc]
  412 ?        I<     0:00 [xfs_mru_cache]
  529 ?        I<     0:00 [acpi_thermal_pm]
  581 ?        I<     0:00 [nvme-wq]
  582 ?        I<     0:00 [nvme-reset-wq]
  585 ?        I<     0:00 [nvme-delete-wq]
  599 ?        I<     0:00 [nvme_fc_wq]
  619 ?        S      0:00 [scsi_eh_0]
  620 ?        I<     0:00 [scsi_tmf_0]
  624 ?        S      0:00 [scsi_eh_1]
  625 ?        I<     0:00 [scsi_tmf_1]
  629 ?        S      0:00 [scsi_eh_2]
  630 ?        I<     0:00 [scsi_tmf_2]
  634 ?        S      0:00 [scsi_eh_3]
  635 ?        I<     0:00 [scsi_tmf_3]
  667 ?        S      0:00 [scsi_eh_4]
  668 ?        I<     0:00 [scsi_tmf_4]
