  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:05 init [3]
    2 ?        S    218:21 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    5 ?        I<     0:00 [netns]
    7 ?        I<     0:00 [kworker/0:0H-events_highpri]
    9 ?        I<     0:00 [mm_percpu_wq]
   10 ?        I      0:00 [rcu_tasks_kthread]
   11 ?        S      0:15 [ksoftirqd/0]
   12 ?        I     13:18 [rcu_preempt]
   13 ?        S      0:00 [migration/0]
   14 ?        S      0:00 [cpuhp/0]
   15 ?        S      0:00 [cpuhp/1]
   16 ?        S      0:00 [migration/1]
   17 ?        S      0:16 [ksoftirqd/1]
   19 ?        I<     0:00 [kworker/1:0H-events_highpri]
   20 ?        S      0:00 [cpuhp/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:17 [ksoftirqd/2]
   24 ?        I<     0:00 [kworker/2:0H-kblockd]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:01 [migration/3]
   27 ?        S     18:44 [ksoftirqd/3]
   29 ?        I<     0:00 [kworker/3:0H-events_highpri]
   30 ?        S      0:00 [kdevtmpfs]
   31 ?        I<     0:00 [inet_frag_wq]
   32 ?        S      0:00 [kauditd]
   35 ?        S      0:00 [oom_reaper]
   36 ?        I<     0:00 [writeback]
   37 ?        S      2:52 [kcompactd0]
   38 ?        I<     0:00 [pencrypt_serial]
   39 ?        I<     0:00 [pdecrypt_serial]
   40 ?        I<     0:00 [cryptd]
   41 ?        I<     0:00 [kintegrityd]
   42 ?        I<     0:00 [kblockd]
   43 ?        I<     0:00 [blkcg_punt_bio]
   44 ?        I<     0:00 [ata_sff]
   45 ?        I<     0:00 [md]
   46 ?        I<     0:00 [edac-poller]
   47 ?        S      0:00 [watchdogd]
   49 ?        I<    23:14 [kworker/0:1H-kblockd]
   50 ?        I<     0:00 [rpciod]
   51 ?        I<     0:00 [xprtiod]
  110 ?        S     15:24 [kswapd0]
  112 ?        I<     0:00 [nfsiod]
  114 ?        I<     0:00 [xfsalloc]
  115 ?        I<     0:00 [xfs_mru_cache]
  165 ?        I<     0:00 [acpi_thermal_pm]
  193 ?        S      0:00 [card0-crtc0]
  194 ?        S      0:00 [card0-crtc1]
  204 ?        I<    53:03 [kworker/3:1H-kblockd]
  205 ?        I<    22:56 [kworker/1:1H-kblockd]
  275 ?        S      0:00 [scsi_eh_0]
  276 ?        I<     0:00 [scsi_tmf_0]
  280 ?        S      0:00 [scsi_eh_1]
  281 ?        I<     0:00 [scsi_tmf_1]
  285 ?        S      0:00 [scsi_eh_2]
  286 ?        I<     0:00 [scsi_tmf_2]
  290 ?        S      0:00 [scsi_eh_3]
  291 ?        I<     0:00 [scsi_tmf_3]
  295 ?        S      0:00 [scsi_eh_4]
  296 ?        I<     0:00 [scsi_tmf_4]
  300 ?        S      0:00 [scsi_eh_5]
  301 ?        I<     0:00 [scsi_tmf_5]
  317 ?        S      0:00 [scsi_eh_6]
  318 ?        I<     0:00 [scsi_tmf_6]
  322 ?        S      0:00 [scsi_eh_7]
  323 ?        I<     0:00 [scsi_tmf_7]
  336 ?        S      0:00 [scsi_eh_8]
  337 ?        I<     0:00 [scsi_tmf_8]
  341 ?        S      0:00 [scsi_eh_9]
  342 ?        I<     0:00 [scsi_tmf_9]
  407 ?        I<     0:00 [raid5wq]
  408 ?        I<     0:00 [bch_btree_io]
  409 ?        I<     0:00 [bcache]
  411 ?        I<     0:00 [bch_journal]
  413 ?        I<     0:00 [dm_bufio_cache]
  414 ?        I<     0:00 [kmpathd]
  415 ?        I<     0:00 [kmpath_handlerd]
  451 ?        I<     0:00 [mld]
  454 ?        I<     0:00 [ipv6_addrconf]
  721 ?        I<    22:42 [kworker/2:1H-kblockd]
  722 ?        I<     0:00 [xfs-buf/sdg2]
  723 ?        I<     0:00 [xfs-conv/sdg2]
  724 ?        I<     0:00 [xfs-reclaim/sdg]
  725 ?        I<     0:00 [xfs-blockgc/sdg]
  726 ?        I<     0:00 [xfs-inodegc/sdg]
  727 ?        I<     0:00 [xfs-log/sdg2]
  728 ?        I<     0:00 [xfs-cil/sdg2]
  729 ?        S      1:30 [xfsaild/sdg2]
  734 ?        I      0:00 [kworker/0:2-mm_percpu_wq]
  915 ?        I      1:09 [kworker/u8:1-btrfs-endio-write]
  965 ?        I      1:05 [kworker/u8:5-btrfs-delayed-meta]
  966 ?        I      0:55 [kworker/u8:6-btrfs-worker]
  967 ?        I      0:54 [kworker/u8:8-btrfs-worker]
 1227 ?        Ss     0:01 /lib/systemd/systemd-udevd
 1273 ?        Ss     0:00 sshd: root@pts/0
 1276 pts/0    Ss+    0:00 -bash
 1411 ?        I      1:02 [kworker/u8:13-btrfs-worker]
 2122 ?        S      0:00 supervising syslog-ng
 2123 ?        Ssl    0:10 /usr/sbin/syslog-ng --cfgfile /etc/syslog-ng/syslog-ng.conf --control /run/syslog-ng.ctl --persist-file /var/lib/syslog-ng/syslog-ng.persist --pidfile /run/syslog-ng.pid
 2155 ?        Ss     0:02 /usr/sbin/crond
 2185 ?        S      0:00 dhcpcd: [manager] [ip4] [ip6]
 2294 ?        Ss     0:00 sshd: /usr/sbin/sshd -o PidFile=/run/sshd.pid -f /etc/ssh/sshd_config [listener] 0 of 10-100 startups
 2331 tty1     Ss+    0:00 /sbin/agetty --noclear 38400 tty1 linux
 2332 tty2     Ss+    0:00 /sbin/agetty 38400 tty2 linux
 2333 tty3     Ss+    0:00 /sbin/agetty 38400 tty3 linux
 2334 tty4     Ss+    0:00 /sbin/agetty 38400 tty4 linux
 2335 tty5     Ss+    0:00 /sbin/agetty 38400 tty5 linux
 2337 tty6     Ss+    0:00 /sbin/agetty 38400 tty6 linux
 2378 ?        S<     0:00 [spl_system_task]
 2380 ?        S<     0:00 [spl_delay_taskq]
 2381 ?        S<   110:47 [spl_dynamic_tas]
 2382 ?        S<     5:23 [spl_kmem_cache]
 2384 ?        S<     0:00 [zvol]
 2385 ?        S      0:00 [arc_prune]
 2386 ?        S     78:31 [arc_evict]
 2387 ?        SN     0:04 [arc_reap]
 2388 ?        S      0:05 [dbu_evict]
 2389 ?        SN   302:43 [dbuf_evict]
 2390 ?        SN     0:00 [z_vdev_file]
 2391 ?        S      0:04 [l2arc_feed]
 2954 ?        I      1:01 [kworker/u8:14-btrfs-worker]
 5226 ?        I      0:00 [kworker/0:3-mm_percpu_wq]
 5634 ?        I      3:04 [kworker/u8:7-writeback]
 5742 ?        I      0:52 [kworker/u8:12-btrfs-endio-write]
 5743 ?        I      0:43 [kworker/u8:15-btrfs-endio-write]
 6276 ?        Ss     0:01 SCREEN
 6277 pts/2    Ss     0:00 -/bin/bash
 6287 pts/2    S      0:00 su - postgres
 6289 pts/2    S      0:00 -sh
10328 ?        I      0:00 [kworker/2:1-events]
10441 pts/2    S+     0:00 /bin/bash -x ./run-pgbench-btrfs.sh 20220906
11580 ?        I      0:35 [kworker/u8:3-flush-btrfs-8]
14454 ?        I      0:25 [kworker/u8:4-btrfs-endio-write]
19458 ?        I      0:00 [kworker/3:0-events_power_efficient]
20192 ?        I      0:09 [kworker/u8:10-btrfs-worker]
21558 ?        I      0:00 [kworker/3:2-mm_percpu_wq]
22636 ?        I      0:01 [kworker/u8:2-btrfs-endio-write]
22926 ?        I      0:00 [kworker/0:0-events_freezable_power_]
22929 ?        I      0:00 [kworker/0:1-events_freezable_power_]
22958 ?        I      0:00 [kworker/1:1-xfs-buf/sdg2]
22985 ?        I<     0:00 [btrfs-worker]
22986 ?        I<     0:00 [btrfs-worker-hi]
22987 ?        S      0:00 /lib/systemd/systemd-udevd
22988 ?        I<     0:00 [btrfs-delalloc]
22989 ?        I<     0:00 [btrfs-flush_del]
22990 ?        I<     0:00 [btrfs-cache]
22991 ?        I<     0:00 [btrfs-fixup]
22992 ?        I<     0:00 [btrfs-endio]
22993 ?        I<     0:00 [btrfs-endio-met]
22994 ?        I<     0:00 [btrfs-endio-met]
22995 ?        I<     0:00 [btrfs-endio-rai]
22996 ?        I<     0:00 [btrfs-rmw]
22997 ?        I<     0:00 [btrfs-endio-wri]
22998 ?        I<     0:00 [btrfs-freespace]
22999 ?        I<     0:00 [btrfs-delayed-m]
23000 ?        I<     0:00 [btrfs-qgroup-re]
23001 ?        S      0:00 [btrfs-cleaner]
23002 ?        S      0:00 [btrfs-transaction]
23021 ?        Ss     0:00 /var/lib/postgresql/pg-master/bin/postgres -D /mnt/data/pgdata
23022 ?        Ss     0:00 postgres: checkpointer 
23023 ?        Ss     0:00 postgres: background writer 
23025 ?        Ss     0:00 postgres: walwriter 
23026 ?        Ss     0:00 postgres: autovacuum launcher 
23027 ?        Ss     0:00 postgres: logical replication launcher 
23028 pts/2    R+     0:00 ps ax
26052 ?        I      0:00 [kworker/2:2-mm_percpu_wq]
27617 ?        I<     0:00 [kworker/u9:2-btrfs-worker-high]
27647 ?        I<     0:00 [kworker/u9:5-btrfs-worker-high]
27768 ?        I      0:00 [kworker/1:0-events_freezable_power_]
31085 ?        I      1:10 [kworker/u8:0-btrfs-worker]
31422 ?        I      1:17 [kworker/u8:9-btrfs-worker]
31875 ?        I      0:00 [kworker/1:2-events_freezable_power_]
